TYP_CD_DES,STN_NAM_DE,latitude,longitude
MRT,DOWNTOWN MRT STATION,1.2794414875041675,103.85285112564216
MRT,GEYLANG BAHRU MRT STATION,1.3215128867064705,103.87191146432978
MRT,BENDEMEER MRT STATION,1.3136449961990742,103.86289119771888
MRT,BENCOOLEN MRT STATION,1.298727189668524,103.85024489000439
MRT,FORT CANNING MRT STATION,1.2924715943282776,103.8443254510258
MRT,KAKI BUKIT MRT STATION,1.3349629788224677,103.90845515801946
MRT,TAMPINES MRT STATION,1.3551430034846923,103.94301596872128
MRT,JALAN BESAR MRT STATION,1.3053804828040765,103.85543504058033
MRT,MATTAR MRT STATION,1.3268656824006766,103.88325305986407
MRT,MACPHERSON MRT STATION,1.326368037256274,103.89026149716992
MRT,BAYFRONT MRT STATION,1.2818719116821031,103.85907645437528
MRT,DHOBY GHAUT MRT STATION,1.2997033929499675,103.8454863949618
MRT,FARRER ROAD MRT STATION,1.3174545709785885,103.80748912466778
MRT,JURONG EAST MRT STATION,1.3332090245988002,103.74226323358567
MRT,BEDOK NORTH MRT STATION,1.3347556342624367,103.9178767226989
MRT,BEDOK RESERVOIR MRT STATION,1.3365987357511817,103.93228754730633
MRT,ORCHARD MRT STATION,1.3039377454263585,103.83221933064458
MRT,BUKIT BROWN MRT STATION,1.33373189829908,103.83071216428851
MRT,LENTOR MRT STATION,1.3849312066751545,103.83634746145727
MRT,BRIGHT HILL MRT STATION,1.3632672643767367,103.83293672078537
MRT,SPRINGLEAF MRT STATION,1.3981083797072196,103.81792447415297
MRT,MARINA SOUTH PIER MRT STATION,1.2713773813552571,103.8629108931131
MRT,MACPHERSON MRT STATION,1.3260906194318953,103.88937168286989
MRT,CANBERRA MRT STATION,1.4431183775816463,103.82971485219076
MRT,WOODLANDS SOUTH MRT STATION,1.4270954765175965,103.79389595249371
MRT,WOODLANDS NORTH MRT STATION,1.448350098612902,103.78567472147277
MRT,GUL CIRCLE MRT STATION,1.3195643155091288,103.66059386947903
MRT,TUAS DEPOT,1.3403973495274588,103.64179532390814
MRT,TUNNEL STRUCTURE CONNECTING DEPOT TO FACILITY BUILDING,1.3432661321297825,103.89307843091443
MRT,WOODLANDS MRT STATION,1.4360746301793317,103.78791746818773
MRT,MANDAI DEPOT,1.4195586240279314,103.79663149449836
MRT,MARINA BAY MRT STATION,1.2767162045237246,103.85430996253677
MRT,OUTRAM PARK MRT STATION,1.2812184910590778,103.83930530856291
MRT,HAVELOCK MRT STATION,1.28845038734054,103.83357369666768
MRT,STEVENS MRT STATION,1.3193857431112008,103.82556219151027
MRT,NAPIER MRT STATION,1.3067313563708385,103.81903764075332
MRT,MOUNT PLEASANT MRT STATION,1.3285471135266145,103.83506011920663
MRT,SHENTON WAY MRT STATION,1.2776198789314834,103.8506272653596
MRT,MARINA SOUTH MRT STATION,1.2742572615658088,103.86335054865364
MRT,GARDENS BY THE BAY MRT STATION,1.2791345489901995,103.86791502046816
MRT,GREAT WORLD MRT STATION,1.2945316921211745,103.83344691909315
MRT,MAXWELL MRT STATION,1.280593353477636,103.84392208316775
MRT,MARINA BAY MRT STATION,1.2752907132779705,103.85517094845477
MRT,ORCHARD BOULEVARD MRT STATION,1.3026330243562194,103.82385764856633
MRT,ORCHARD MRT STATION,1.302960998152446,103.83148568410844
MRT,TELOK BLANGAH MRT STATION,1.2705817864389695,103.80973975610239
LRT,TECK WHYE LRT STATION,1.3766592934284423,103.75369963157169
LRT,TECK LEE LRT STATION,1.4128738707029238,103.90662621196734
MRT,TANJONG PAGAR MRT STATION,1.2765150315737004,103.84585358316409
MRT,TANAH MERAH MRT STATION,1.327254081923371,103.94654794373838
MRT,TAN KAH KEE MRT STATION,1.3258706044104926,103.80733086518023
MRT,UPPER THOMSON MRT STATION,1.3544050507700203,103.83292375572502
MRT,CALDECOTT MRT STATION,1.3373172466458256,103.84013848443503
MRT,MAYFLOWER MRT STATION,1.3721031734795293,103.83679077010798
